book_id,title,author,metadata_status,metadata_reliable,q2_generation_basis,q1_id,q1_question,q1_status,q1_assignment_reason,raw_q2_count,raw_q2_1,raw_q2_2,raw_q2_3,raw_q2_4,raw_q2_5,notes
14,流行病与社会：从黑死病开始的瘟疫史,弗兰克·M.斯诺登,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=复杂系统
15,人的行动,路德维希·冯·米塞斯,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
16,炼金术之梦,[瑞士]卡尔·古斯塔夫·荣格,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=哲学与思想
30,红书,[瑞士]卡尔·古斯塔夫·荣格,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=哲学与思想
65,在轮下,[德]赫尔曼·黑塞,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
67,一人公司,[美]卡丽·莱恩,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=商业与组织
77,初识传播学：在信息社会里正确认知自我、他人及世界,埃姆·格里芬,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=心理与决策
80,那不勒斯四部曲《我的天才女友》《新名字的故事》《离开的，留下的》《失踪的孩子》,埃莱娜·费兰特,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
84,金字塔原理大全集,[美]芭芭拉·明托,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
87,拖延心理学：越拖越慌？救急指南,简·博克 莱诺拉·袁,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=心理与决策
94,深度学习的数学——使用Python语言,[美]罗纳德·T.纽塞尔,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=AI与技术实践
102,哈佛经典谈判术：在谈判中创造价值，在谈判中扭转乾坤，助你在谈判中百战百胜,[美]迪帕克·马尔霍特拉 [美]马克斯·巴泽曼,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=商业与组织
111,尤利西斯,[爱尔兰]詹姆斯·乔伊斯,ambiguous-match,false,insufficient-reliable-metadata,,,unassigned,metadata_ambiguous,0,,,,,,theme=小说与叙事
112,游戏改变人生,简·麦戈尼格尔,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=游戏与机制设计
113,深度学习推荐系统,王喆,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=AI与技术实践
114,经济学的思维方式：第13版,[美]保罗·海恩 [美]彼得·勃特克 [美]大卫·普雷契特科,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=心理与决策
115,做对产品,阿尔贝托·索维亚,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=商业与组织
116,白夜,陀思妥耶夫斯基,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=小说与叙事
117,权衡：批判性思维的探究与应用,莎伦·白琳 马克·巴特斯比,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=心理与决策
118,雪国,川端康成,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=小说与叙事
119,猫眼,玛格丽特·阿特伍德,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
120,数学要素：全彩图解 + 微课 + Python编程,姜伟生,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=AI与技术实践
121,布鲁克林有棵树,[美]贝蒂·史密斯,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
122,宝贵的人生建议,[美]凯文·凯利,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
123,硅谷之火：个人计算机的诞生与衰落,迈克尔·斯韦因 保罗·弗赖伯格,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=AI与技术实践
124,奈飞文化手册：支撑 827 亿 IP 整合的底层逻辑,帕蒂·麦考德,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=商业与组织
125,纳瓦尔宝典,埃里克·乔根森,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
126,荆棘鸟,考琳·麦卡洛,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
127,反脆弱：从不确定性中获益,纳西姆·尼古拉斯·塔勒布,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
128,裸者与死者,[美]诺曼·梅勒,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
129,金雀花王朝：缔造英格兰的武士国王与王后,丹·琼斯,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=历史与社会
130,规训与惩罚,福柯,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=政治与制度
131,Antigone's Claim: Kinship Between Life and Death,Judith Butler,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=AI与技术实践
132,人的境况,汉娜·阿伦特,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=哲学与思想
133,DK时间线上的全球史,英国DK公司,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=商业与组织
134,Steps to an Ecology of Mind,Gregory Bateson,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
135,科技想要什么,凯文·凯利,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
136,不确定世界的理性选择：判断与决策心理学,[美]雷德·海斯蒂,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=心理与决策
137,常识,托马斯·潘恩,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
138,城堡,卡夫卡,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=小说与叙事
139,苦炼,玛格丽特·尤瑟纳尔,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
140,搏击俱乐部,查克·帕拉尼克,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
141,始于极限：女性主义往复书简,[日]上野千鹤子 [日]铃木凉美,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
142,数字城堡,[美]丹·布朗,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=小说与叙事
143,项狄传,[英]劳伦斯·斯特恩,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
144,应得的权利：男性特权如何伤害女性,凯特·曼恩,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
145,永久记录,斯诺登,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
146,博弈论与经济行为,摩根斯顿 冯·诺伊曼,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=游戏与机制设计
147,狐狸那时已是猎人,赫塔·米勒,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
148,镜与灯,艾布拉姆斯,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
149,生存的12条法则,乔丹·彼得森,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
150,逃避统治的艺术：东南亚高地的无政府主义历史,詹姆斯·C.斯科特,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=政治与制度
151,午夜之子,萨曼·鲁西迪,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
152,早起的奇迹：那些能够在早晨8:00前改变人生的秘密,Hal Elrod,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
153,"Man, Play and Games",Roger Caillois,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=游戏与机制设计
154,Maps of Meaning,Jordan Peterson,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
155,Getting Things Done: The Art of Stress-Free Productivity,David Allen,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
156,Scaling Your Business with MOD Virtual Professionals,Daniel Ramsey,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=商业与组织
157,The Personal MBA,Josh Kaufman,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=商业与组织
158,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,Steven Pressfield,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
159,比虚构更离奇真实的故事 / STRANGER THAN FICTION TRUE STORIES,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
160,不平等的童年,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
161,错误的行为,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
162,赢家的诅咒,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
163,哈扎尔辞典,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=小说与叙事
164,黑书,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
165,化身,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
166,控制论与科学方法论,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=复杂系统
167,理解漫画,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
168,你的灯亮着吗,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
169,撞车俱乐部,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=待人工复核
170,蚱（游戏、生命与乌托邦）,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=游戏与机制设计
171,游戏引擎：游戏设计全景探秘,Tynan Sylvester,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=游戏与机制设计
172,游戏化实战,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=游戏与机制设计
173,游戏设计艺术（第二版）,,no-match,false,insufficient-reliable-metadata,,,unassigned,metadata_not_matched,0,,,,,,theme=游戏与机制设计
1,有限与无限的游戏：一个哲学家眼中的竞技世界,[美]詹姆斯·卡斯,matched,true,title-author-and-matched-metadata,,,unassigned,q1_cluster_not_stable,2,《有限与无限的游戏》这本书试图回答的核心问题是什么？,竞争与合作在何种条件下会发生转换？,,,,theme=游戏与机制设计
3,What if？那些古怪又让人忧心的问题,兰道尔·门罗,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《What if？那些古怪又让人忧心的问题》这本书试图回答的核心问题是什么？,这本书最核心的论题是什么？,,,,theme=待人工复核
9,自我分析与自我实现,卡伦·霍妮,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《自我分析与自我实现》这本书试图回答的核心问题是什么？,这本书最核心的论题是什么？,,,,theme=待人工复核
10,是我把你蠢哭了吗,迪安·博内特,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《是我把你蠢哭了吗》这本书试图回答的核心问题是什么？,这本书最核心的论题是什么？,,,,theme=待人工复核
12,咨询的奥秘：寻求和提出建议的智慧,[美]杰拉尔德·M.温伯格,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《咨询的奥秘》这本书试图回答的核心问题是什么？,这本书最核心的论题是什么？,,,,theme=待人工复核
20,规则的悖论,大卫·格雷伯,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《规则的悖论》这本书试图回答的核心问题是什么？,作者试图反驳或修正什么常见观点？,,,,theme=待人工复核
21,人性中的善良天使：暴力为什么会减少,斯蒂芬·平克,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《人性中的善良天使》这本书试图回答的核心问题是什么？,该书最值得追踪的论证链条是什么？,,,,theme=待人工复核
22,自私的基因,理查德·道金斯,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《自私的基因》这本书试图回答的核心问题是什么？,这本书最核心的论题是什么？,,,,theme=待人工复核
25,今日简史：人类命运大议题,尤瓦尔·赫拉利,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《今日简史》这本书试图回答的核心问题是什么？,该书最值得追踪的论证链条是什么？,,,,theme=待人工复核
26,未来简史：从智人到智神,尤瓦尔·赫拉利,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《未来简史》这本书试图回答的核心问题是什么？,该书最值得追踪的论证链条是什么？,,,,theme=待人工复核
28,罐头厂街,约翰·斯坦贝克,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《罐头厂街》这本书试图回答的核心问题是什么？,这本书最核心的论题是什么？,,,,theme=待人工复核
29,How to：如何不切实际地解决实际问题,兰道尔·门罗,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《How to》这本书试图回答的核心问题是什么？,作者试图反驳或修正什么常见观点？,,,,theme=待人工复核
31,地下室手记,[俄]陀思妥耶夫斯基,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《地下室手记》这本书试图回答的核心问题是什么？,该书最值得追踪的论证链条是什么？,,,,theme=待人工复核
32,弱者的武器,詹姆斯·C.斯科特,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《弱者的武器》这本书试图回答的核心问题是什么？,这本书最核心的论题是什么？,,,,theme=待人工复核
33,背德者,[法]安德烈·纪德,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《背德者》这本书试图回答的核心问题是什么？,这本书最核心的论题是什么？,,,,theme=待人工复核
34,无穷的开始：世界进步的本源,戴维·多伊奇,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《无穷的开始》这本书试图回答的核心问题是什么？,这本书最核心的论题是什么？,,,,theme=待人工复核
36,从细菌到巴赫再回来,[美]丹尼尔·丹尼特,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《从细菌到巴赫再回来》这本书试图回答的核心问题是什么？,作者试图反驳或修正什么常见观点？,,,,theme=待人工复核
37,我们为什么做出不利于自己的行为,马克·郭士顿 菲利普·戈德堡,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《我们为什么做出不利于自己的行为》这本书试图回答的核心问题是什么？,这本书最核心的论题是什么？,,,,theme=待人工复核
39,1493：物种大交换开创的世界史,[美]查尔斯·曼恩,matched,true,title-author-and-matched-metadata,,,unassigned,q1_cluster_not_stable,3,《1493》这本书试图回答的核心问题是什么？,书中如何解释制度与社会行为的共演关系？,该书的历史论证对当下问题有什么可迁移价值？,,,theme=历史与社会
40,窄门,[法]安德烈·纪德,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《窄门》这本书试图回答的核心问题是什么？,这本书最核心的论题是什么？,,,,theme=待人工复核
43,巴比伦最富有的人,[美]乔治·S.克拉森,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《巴比伦最富有的人》这本书试图回答的核心问题是什么？,该书最值得追踪的论证链条是什么？,,,,theme=待人工复核
44,清醒思考的艺术,罗尔夫·多贝里,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《清醒思考的艺术》这本书试图回答的核心问题是什么？,该书最值得追踪的论证链条是什么？,,,,theme=待人工复核
45,焚舟纪,安吉拉·卡特,matched,true,title-author-and-matched-metadata,,,unassigned,theme_inference_low_confidence,2,《焚舟纪》这本书试图回答的核心问题是什么？,这本书最核心的论题是什么？,,,,theme=待人工复核
