raw_q2_id,book_id,title,author,q2_text,q2_status,source_basis,notes
RQ2-0001,1,有限与无限的游戏：一个哲学家眼中的竞技世界,[美]詹姆斯·卡斯,《有限与无限的游戏》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0002,1,有限与无限的游戏：一个哲学家眼中的竞技世界,[美]詹姆斯·卡斯,竞争与合作在何种条件下会发生转换？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0003,2,具身认知：身体如何影响心智,盖伊·克莱斯顿,《具身认知》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0004,2,具身认知：身体如何影响心智,盖伊·克莱斯顿,该书提出了哪些可执行的偏差修正方法？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0005,3,What if？那些古怪又让人忧心的问题,兰道尔·门罗,《What if？那些古怪又让人忧心的问题》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0006,3,What if？那些古怪又让人忧心的问题,兰道尔·门罗,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0007,4,国家的视角：那些试图改善人类状况的项目是如何失败的,詹姆斯·C.斯科特,《国家的视角》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0008,4,国家的视角：那些试图改善人类状况的项目是如何失败的,詹姆斯·C.斯科特,这本书如何解释制度设计与执行之间的张力？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0009,5,诚实的信号,[美]阿莱克斯·彭特兰,《诚实的信号》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0010,5,诚实的信号,[美]阿莱克斯·彭特兰,该书给出了哪些识别反馈回路的具体方法？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0011,6,同步：秩序如何从混沌中涌现,斯蒂芬·斯托加茨,《同步》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0012,6,同步：秩序如何从混沌中涌现,斯蒂芬·斯托加茨,书中的案例如何揭示权力运作的具体机制？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0013,7,混合信号,尤里·格尼茨,《混合信号》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0014,7,混合信号,尤里·格尼茨,这本书如何说明局部优化会触发系统级副作用？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0015,8,想象的共同体,本尼迪克特·安德森,《想象的共同体》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0016,8,想象的共同体,本尼迪克特·安德森,书中的案例如何揭示权力运作的具体机制？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0017,9,自我分析与自我实现,卡伦·霍妮,《自我分析与自我实现》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0018,9,自我分析与自我实现,卡伦·霍妮,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0019,10,是我把你蠢哭了吗,迪安·博内特,《是我把你蠢哭了吗》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0020,10,是我把你蠢哭了吗,迪安·博内特,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0021,11,伊甸之东,[美]约翰·斯坦贝克,《伊甸之东》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0022,11,伊甸之东,[美]约翰·斯坦贝克,作品中的价值冲突如何映射现实处境？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0023,12,咨询的奥秘：寻求和提出建议的智慧,[美]杰拉尔德·M.温伯格,《咨询的奥秘》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0024,12,咨询的奥秘：寻求和提出建议的智慧,[美]杰拉尔德·M.温伯格,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0025,13,为什么：关于因果关系的新科学,[美]朱迪亚·珀尔 [美]达纳·麦肯齐,《为什么》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0026,13,为什么：关于因果关系的新科学,[美]朱迪亚·珀尔 [美]达纳·麦肯齐,书中的系统视角如何改变长期策略设计？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0027,17,什么是权力？,[德]韩炳哲,《什么是权力？》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0028,17,什么是权力？,[德]韩炳哲,该书指出了哪些会导致制度失灵的关键条件？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0029,18,夜莺与玫瑰,[英]奥斯卡·王尔德,《夜莺与玫瑰》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0030,18,夜莺与玫瑰,[英]奥斯卡·王尔德,这本书通过人物关系揭示了哪些核心冲突？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0031,19,复杂,梅拉妮·米歇尔,《复杂》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0032,19,复杂,梅拉妮·米歇尔,这本书如何说明局部优化会触发系统级副作用？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0033,20,规则的悖论,大卫·格雷伯,《规则的悖论》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0034,20,规则的悖论,大卫·格雷伯,作者试图反驳或修正什么常见观点？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0035,21,人性中的善良天使：暴力为什么会减少,斯蒂芬·平克,《人性中的善良天使》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0036,21,人性中的善良天使：暴力为什么会减少,斯蒂芬·平克,该书最值得追踪的论证链条是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0037,22,自私的基因,理查德·道金斯,《自私的基因》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0038,22,自私的基因,理查德·道金斯,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0039,23,原型与集体无意识,[瑞士]卡尔·古斯塔夫·荣格,《原型与集体无意识》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0040,23,原型与集体无意识,[瑞士]卡尔·古斯塔夫·荣格,书中如何处理价值判断与行动选择之间的关系？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0041,24,项塔兰,[澳]格里高利·大卫·罗伯兹,《项塔兰》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0042,24,项塔兰,[澳]格里高利·大卫·罗伯兹,叙事结构如何影响读者对人物选择的理解？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0043,25,今日简史：人类命运大议题,尤瓦尔·赫拉利,《今日简史》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0044,25,今日简史：人类命运大议题,尤瓦尔·赫拉利,该书最值得追踪的论证链条是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0045,26,未来简史：从智人到智神,尤瓦尔·赫拉利,《未来简史》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0046,26,未来简史：从智人到智神,尤瓦尔·赫拉利,该书最值得追踪的论证链条是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0047,27,共时性：心灵与外部世界的有意义巧合,[瑞士]卡尔·古斯塔夫·荣格,《共时性》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0048,27,共时性：心灵与外部世界的有意义巧合,[瑞士]卡尔·古斯塔夫·荣格,书中如何处理价值判断与行动选择之间的关系？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0049,28,罐头厂街,约翰·斯坦贝克,《罐头厂街》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0050,28,罐头厂街,约翰·斯坦贝克,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0051,29,How to：如何不切实际地解决实际问题,兰道尔·门罗,《How to》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0052,29,How to：如何不切实际地解决实际问题,兰道尔·门罗,作者试图反驳或修正什么常见观点？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0053,31,地下室手记,[俄]陀思妥耶夫斯基,《地下室手记》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0054,31,地下室手记,[俄]陀思妥耶夫斯基,该书最值得追踪的论证链条是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0055,32,弱者的武器,詹姆斯·C.斯科特,《弱者的武器》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0056,32,弱者的武器,詹姆斯·C.斯科特,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0057,33,背德者,[法]安德烈·纪德,《背德者》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0058,33,背德者,[法]安德烈·纪德,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0059,34,无穷的开始：世界进步的本源,戴维·多伊奇,《无穷的开始》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0060,34,无穷的开始：世界进步的本源,戴维·多伊奇,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0061,35,变化社会中的政治秩序,塞缪尔·P.亨廷顿,《变化社会中的政治秩序》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0062,35,变化社会中的政治秩序,塞缪尔·P.亨廷顿,该书指出了哪些会导致制度失灵的关键条件？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0063,35,变化社会中的政治秩序,塞缪尔·P.亨廷顿,这本书如何解释制度设计与执行之间的张力？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0064,36,从细菌到巴赫再回来,[美]丹尼尔·丹尼特,《从细菌到巴赫再回来》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0065,36,从细菌到巴赫再回来,[美]丹尼尔·丹尼特,作者试图反驳或修正什么常见观点？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0066,37,我们为什么做出不利于自己的行为,马克·郭士顿 菲利普·戈德堡,《我们为什么做出不利于自己的行为》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0067,37,我们为什么做出不利于自己的行为,马克·郭士顿 菲利普·戈德堡,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0068,38,智人之上：从石器时代到 AI 时代的信息网络简史,[以]尤瓦尔·赫拉利,《智人之上》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0069,38,智人之上：从石器时代到 AI 时代的信息网络简史,[以]尤瓦尔·赫拉利,该书强调了哪些可复用的建模与评估原则？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0070,39,1493：物种大交换开创的世界史,[美]查尔斯·曼恩,《1493》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0071,39,1493：物种大交换开创的世界史,[美]查尔斯·曼恩,书中如何解释制度与社会行为的共演关系？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0072,39,1493：物种大交换开创的世界史,[美]查尔斯·曼恩,该书的历史论证对当下问题有什么可迁移价值？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0073,40,窄门,[法]安德烈·纪德,《窄门》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0074,40,窄门,[法]安德烈·纪德,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0075,41,直觉泵和其他思考工具：思维工具解析模型决策逻辑,丹尼尔·丹尼特,《直觉泵和其他思考工具》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0076,41,直觉泵和其他思考工具：思维工具解析模型决策逻辑,丹尼尔·丹尼特,这本书如何解释理性与非理性在决策中的互动？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0077,41,直觉泵和其他思考工具：思维工具解析模型决策逻辑,丹尼尔·丹尼特,这本书揭示了哪些稳定影响判断质量的心理机制？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0078,42,作为意志和表象的世界,阿图尔·叔本华,《作为意志和表象的世界》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0079,42,作为意志和表象的世界,阿图尔·叔本华,书中如何处理价值判断与行动选择之间的关系？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0080,42,作为意志和表象的世界,阿图尔·叔本华,该书与既有思想传统的分歧点在哪里？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0081,43,巴比伦最富有的人,[美]乔治·S.克拉森,《巴比伦最富有的人》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0082,43,巴比伦最富有的人,[美]乔治·S.克拉森,该书最值得追踪的论证链条是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0083,44,清醒思考的艺术,罗尔夫·多贝里,《清醒思考的艺术》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0084,44,清醒思考的艺术,罗尔夫·多贝里,该书最值得追踪的论证链条是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0085,45,焚舟纪,安吉拉·卡特,《焚舟纪》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0086,45,焚舟纪,安吉拉·卡特,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0087,46,卓越基因,[美]吉姆·柯林斯 比尔·拉齐尔,《卓越基因》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0088,46,卓越基因,[美]吉姆·柯林斯 比尔·拉齐尔,该书最值得追踪的论证链条是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0089,47,社会学的想象力,[美]C.赖特·米尔斯,《社会学的想象力》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0090,47,社会学的想象力,[美]C.赖特·米尔斯,该书的历史论证对当下问题有什么可迁移价值？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0091,48,凯列班与女巫：妇女、身体与原始积累,西尔维娅·费代里奇,《凯列班与女巫》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0092,48,凯列班与女巫：妇女、身体与原始积累,西尔维娅·费代里奇,作者试图反驳或修正什么常见观点？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0093,49,萨德式女人：文化史的操练,安吉拉·卡特,《萨德式女人》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0094,49,萨德式女人：文化史的操练,安吉拉·卡特,作者试图反驳或修正什么常见观点？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0095,50,罪与罚,陀思妥耶夫斯基,《罪与罚》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0096,50,罪与罚,陀思妥耶夫斯基,作品中的价值冲突如何映射现实处境？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0097,51,习惯的力量,查尔斯·都希格,《习惯的力量》这本书试图回答的核心问题是什么？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0098,51,习惯的力量,查尔斯·都希格,该书提出了哪些可执行的偏差修正方法？,draft,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0099,52,谣言：世界最古老的传媒,让-诺埃尔·卡普费雷,《谣言》这本书试图回答的核心问题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
RQ2-0100,52,谣言：世界最古老的传媒,让-诺埃尔·卡普费雷,这本书最核心的论题是什么？,needs-review,title-author-and-matched-metadata,auto-generated baseline; human refinement required
